,input_size,HH,PM,SA
17,0,20,88.0,17.0
73,1,32,108.0,20.0
56,2,21,116.0,35.0
6,3,53,233.0,118.0
40,4,42,313.0,199.0
85,5,72,511.0,343.0
76,6,60,601.0,806.0
27,7,65,901.0,783.0
50,8,262,1497.0,1430.0
0,9,128,2025.0,2333.0
26,10,74,2519.0,1908.0
3,11,117,4669.0,3539.0
80,12,136,8991.0,5579.0
57,13,154,8939.0,6201.0
81,14,96,9085.0,6651.0
54,15,95,8192.0,6421.0
28,16,142,17373.0,12652.0
2,17,136,17461.0,16969.0
77,18,129,16478.0,11184.0
52,19,241,40244.0,25070.0
44,20,236,30735.0,22514.0
21,21,295,50939.0,36742.0
88,22,247,49466.0,45644.0
64,23,279,43891.0,34928.0
89,24,368,75452.0,54536.0
61,25,442,73388.0,59476.0
46,26,259,60769.0,74478.0
20,27,532,133144.0,97654.0
96,28,394,113603.0,91825.0
74,29,313,118800.0,96168.0
95,30,470,167316.0,152613.0
70,31,362,168813.0,148246.0
36,32,516,268876.0,254580.0
14,33,1007,196602.0,214779.0
37,34,536,276363.0,289143.0
11,35,388,201696.0,207083.0
97,36,692,427868.0,437853.0
69,37,571,433478.0,378081.0
45,38,669,413354.0,428483.0
24,39,640,504695.0,577309.0
5,40,524,495922.0,520535.0
31,41,826,551587.0,579421.0
49,42,706,675260.0,709936.0
78,43,604,585677.0,634516.0
51,44,910,754550.0,937396.0
75,45,840,702224.0,853259.0
8,46,834,912891.0,1272920.0
30,47,854,760060.0,885699.0
55,48,780,908863.0,1258560.0
83,49,749,994925.0,1106340.0
53,50,950,1063280.0,2014500.0
82,51,999,1519200.0,1719100.0
1,52,1562,1713520.0,1994940.0
29,53,1018,1694560.0,2281000.0
4,54,925,1676840.0,2080240.0
25,55,1154,1644870.0,2566560.0
58,56,1243,2488920.0,2759660.0
79,57,1289,1936810.0,2437940.0
7,58,1261,2292160.0,3757750.0
32,59,1432,2165760.0,2782770.0
60,60,1479,2352590.0,3407150.0
90,61,1264,2839420.0,4014780.0
18,62,1192,2243810.0,3398120.0
48,63,1428,3747820.0,5613840.0
22,64,1561,3511680.0,4796670.0
43,65,1738,3517520.0,5387720.0
66,66,1388,2889210.0,4404030.0
86,67,1422,4226390.0,5675640.0
12,68,1748,4591390.0,6264090.0
41,69,1450,3766590.0,6831440.0
9,70,1647,4254450.0,6178460.0
39,71,1848,4720650.0,7374290.0
68,72,1656,4417350.0,7140470.0
98,73,1973,6757120.0,10721000.0
72,74,1726,6108740.0,9866160.0
93,75,1969,4680180.0,7324760.0
15,76,1811,5636550.0,8300040.0
35,77,2590,7623460.0,11815000.0
62,78,2011,6695650.0,10019700.0
92,79,2136,6947040.0,12207200.0
34,80,2380,7313590.0,12040400.0
16,81,2125,8560090.0,16680700.0
94,82,1926,975262000.0,13780600.0
71,83,2302,8940900.0,13532000.0
99,84,1990,7468710.0,13972500.0
67,85,2267,9490830.0,16281900.0
38,86,2388,10002800.0,16206500.0
10,87,2948,10495800.0,18108800.0
84,88,2366,7873210.0,17039200.0
63,89,2839,13310800.0,21835700.0
87,90,2592,12786000.0,26244500.0
65,91,2770,16016700.0,25353400.0
42,92,2670,12781500.0,26656100.0
23,93,2689,13213400.0,27220400.0
47,94,3054,15906000.0,27513700.0
19,95,3021,15866000.0,26737000.0
91,96,2957,11757600.0,23461400.0
59,97,3417,19870900.0,34407500.0
33,98,3086,16751600.0,30231000.0
13,99,4126,19965700.0,33089600.0
